Datetime,EMASignal,isPivot,CHOCH_pattern_detected,fibonacci_signal,SL,TP,MinSwing,MaxSwing,LBD_detected,LBH_detected,SR_signal,isBreakOut,candlestick_signal,result,signal1,buy_signal,sell_signal,Position,fractal_high,fractal_low,fractals_high,fractals_low,buy_signal1,sell_signal1,VSignal,PriceSignal,TotSignal,SLSignal,grid_signal,ordersignal,SLSignal_heiken,EMASignal1,long_signal,martiangle_signal,Candle_direction,Prediction
2024-06-18 10:17:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0.0,0,0,0,2,0,1,0,0
2024-06-18 01:28:00-04:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,2,1,1
2024-06-18 11:35:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
2024-06-18 00:47:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,2,0,0
2024-06-18 11:30:00-04:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,2,0,0
2024-06-18 10:26:00-04:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
2024-06-18 13:38:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
2024-06-17 21:46:00-04:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
2024-06-18 11:07:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,2,0,0
2024-06-17 23:09:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0.0,0,0,0,1,0,1,0,0
2024-06-18 02:24:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
2024-06-17 20:53:00-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0.0,0,0,0,1,0,2,0,0
